User ID,Age,Gender,Height (cm),Weight (kg),BMI,Step Count,Distance (m),Calories Burned,Activity Type,Duration (min),Heart Rate (bpm),Sleep Duration (hrs),Stress Level,Hydration Level (L),Temperature (C),Workout Frequency (days/week),Activity Intensity,Fitness Status
User_26,24,Male,158,89,35.65133792661432,13724,10979.2,325,Walking,83,89,6,Low,2.2696184492457103,36.927186749738034,4,Moderate,Not Fit
User_27,44,Male,182,71,21.434609346697258,12014,9611.2,150,Swimming,55,71,9,Low,2.5423550687459855,37.19581720346282,3,Low,Fit
User_28,39,Female,186,60,17.343045438779047,7736,6188.8,651,Swimming,115,74,7,Low,1.9444973303433117,37.016948032009715,3,Moderate,Not Fit
User_29,31,Male,161,52,20.060954438486167,9732,7785.6,387,Cycling,96,89,8,High,3.374037211252181,36.907028223525046,3,Moderate,Not Fit
User_30,38,Female,190,79,21.883656509695292,14634,11707.2,645,Swimming,113,79,9,Medium,2.0965723681762825,36.80066291267157,3,High,Fit
User_31,32,Female,157,79,32.049981743681286,12833,10266.400000000001,589,Cycling,42,85,6,Medium,2.2872910224020426,36.77685506602229,5,Moderate,Not Fit
User_32,27,Male,174,62,20.478266613819528,13999,11199.2,601,Swimming,47,89,8,Medium,3.0113366252176945,37.13683207544065,4,Low,Fit
User_33,28,Male,180,65,20.061728395061728,6500,5200.0,407,Walking,96,90,5,High,1.6280442867279565,37.289984346739516,3,Moderate,Not Fit
User_34,27,Male,183,63,18.812147272238644,5181,4144.8,759,Running,109,65,7,High,1.747687640766688,36.79469570245697,3,High,Not Fit
User_35,39,Female,161,84,32.40615716986227,8406,6724.8,349,Swimming,119,62,6,Low,2.620786601855789,36.72014819625325,3,Moderate,Not Fit
User_36,36,Male,161,67,25.847768218818715,7895,6316.0,743,Cycling,38,84,9,Medium,3.405471965713486,36.5816674038018,2,Moderate,Not Fit
User_37,39,Female,166,45,16.330381768036002,12874,10299.2,413,Cycling,31,72,8,Medium,2.672333777711514,36.68866270466649,4,Low,Not Fit
User_38,28,Male,152,75,32.46191135734072,5182,4145.6,585,Running,46,62,8,Medium,2.496368571095882,37.20020566267078,4,Low,Not Fit
User_39,35,Male,173,70,23.38868655818771,11806,9444.800000000001,188,Walking,87,73,8,High,2.768617722055933,36.7580827699559,4,Moderate,Not Fit
User_40,34,Female,168,93,32.95068027210885,13069,10455.2,228,Swimming,48,67,7,Low,1.5365271880458227,37.37838508658305,3,Moderate,Not Fit
User_41,28,Male,190,45,12.465373961218837,6112,4889.6,384,Walking,111,72,8,Medium,3.0641336348516086,36.86658079046281,3,Moderate,Not Fit
User_42,36,Male,172,78,26.365603028664147,7443,5954.400000000001,258,Running,51,78,9,High,2.0522030311560986,36.70820057762977,3,Low,Not Fit
User_43,33,Male,178,78,24.61810377477591,6989,5591.200000000001,269,Running,55,78,8,Medium,3.1047077730030272,36.64756571749079,3,Low,Fit
User_44,28,Female,150,78,34.666666666666664,7395,5916.0,113,Running,62,90,5,Low,3.2955297420101495,37.259357143859994,4,Moderate,Not Fit
User_45,30,Male,186,70,20.23355301190889,5720,4576.0,415,Running,94,70,8,Medium,1.571940391574651,37.104982013997855,2,Moderate,Not Fit
User_46,36,Male,163,98,36.88509164816139,14422,11537.6,493,Walking,25,76,6,High,2.7953309439925493,37.27161420900166,3,Moderate,Not Fit
User_47,41,Female,182,51,15.396691220867044,7965,6372.0,482,Cycling,100,85,8,Low,2.3821893124288342,36.63845623492379,5,Low,Not Fit
User_48,27,Male,162,73,27.815881725346742,3488,2790.4,554,Walking,27,61,5,High,2.9970813627145816,36.83812725253517,5,Low,Not Fit
User_49,22,Female,166,58,21.04804761213529,3689,2951.2000000000003,712,Running,69,81,9,Low,3.4028875272181622,36.83008213118618,3,Moderate,Not Fit
User_50,26,Male,158,63,25.236340330075304,9932,7945.6,487,Walking,116,88,6,High,3.3975229630668142,37.28408907078568,4,High,Not Fit
User_51,30,Male,151,80,35.086180430682866,5161,4128.8,194,Cycling,110,80,7,High,1.9409337536346722,36.67913779196378,4,High,Not Fit
User_52,38,Female,173,79,26.395803401383272,6357,5085.6,728,Cycling,28,83,9,Medium,2.1163696074857854,36.943311113500215,3,Low,Not Fit
User_53,38,Female,173,72,24.0569347455645,10967,8773.6,101,Walking,74,72,8,Medium,3.398354457945957,36.64279230595092,3,Low,Fit
User_54,23,Female,150,63,28.0,6865,5492.0,204,Cycling,52,87,7,Medium,1.831377243918426,37.23554817893937,5,Low,Not Fit
User_55,34,Male,185,66,19.284149013878743,5710,4568.0,570,Cycling,37,72,6,Low,1.5533093522747374,37.31914434351302,2,High,Not Fit
User_56,20,Female,160,78,30.468749999999993,10382,8305.6,442,Walking,89,77,5,Low,2.784677085297418,37.30261030644819,3,Moderate,Not Fit
User_57,38,Female,162,95,36.19875019051973,10318,8254.4,732,Swimming,55,67,8,Low,2.6916171675645355,37.450145891309624,4,Moderate,Not Fit
User_58,31,Male,169,62,21.707923392038097,7080,5664.0,569,Walking,91,64,5,Medium,2.3269796794449116,36.6297777175109,4,Moderate,Not Fit
User_59,36,Female,151,82,35.963334941449936,14037,11229.6,590,Cycling,109,68,7,Low,3.067008563446754,36.753288531322546,5,Low,Not Fit
User_60,31,Male,185,83,24.251278305332356,9807,7845.6,614,Cycling,61,75,8,Medium,2.5483457854871423,37.39507280623113,3,Moderate,Fit
User_61,31,Male,172,82,27.717685235262305,8888,7110.400000000001,490,Swimming,73,85,6,Medium,3.3396581419343363,36.5605155957613,5,High,Not Fit
User_62,25,Male,168,81,28.69897959183674,13391,10712.800000000001,171,Cycling,52,76,5,Medium,2.3817085915373855,37.01129285353326,2,Low,Not Fit
User_63,44,Male,157,68,27.587326057852245,12152,9721.6,503,Walking,54,64,5,Low,2.592583977143833,37.11657009556412,5,Low,Not Fit
User_64,34,Female,179,67,20.91070815517618,6673,5338.400000000001,657,Walking,76,66,5,High,3.0574859307782214,36.8631453144796,5,High,Not Fit
User_65,31,Male,168,89,31.533446712018144,12719,10175.2,421,Walking,20,79,8,High,1.9306564070898855,36.77417034612157,3,High,Not Fit
User_66,29,Female,183,65,19.409358296754156,9556,7644.8,713,Running,34,83,5,Medium,2.0164707339198467,37.46877004703373,5,Moderate,Not Fit
User_67,22,Female,179,54,16.853406572828565,13970,11176.0,177,Cycling,45,72,5,Medium,2.0536563930614116,36.68334381918601,5,Low,Not Fit
User_68,42,Male,150,94,41.77777777777778,14013,11210.400000000001,601,Swimming,107,75,9,High,1.5559858559680892,37.021119641975126,4,Moderate,Not Fit
User_69,25,Female,163,67,25.21735857578381,12967,10373.6,600,Running,65,64,9,Medium,2.9025719884203465,37.145891919065654,2,High,Not Fit
User_70,25,Female,160,57,22.265624999999996,11751,9400.800000000001,382,Cycling,53,86,6,Medium,2.54923513186797,37.120162450120546,2,High,Fit
User_71,26,Male,151,58,25.437480812245077,12269,9815.2,637,Cycling,106,84,6,Medium,2.4019084390105916,37.45065466692171,2,Low,Not Fit
User_72,33,Female,162,60,22.86236854138088,6870,5496.0,206,Running,88,76,6,Medium,1.950582588700781,37.02525319522193,4,High,Not Fit
User_73,45,Male,166,76,27.58020031934969,5969,4775.2,513,Running,103,65,7,High,3.0867724260716667,37.163564906176106,5,Low,Not Fit
User_74,43,Female,161,56,21.60410477990818,4572,3657.6000000000004,177,Running,117,80,6,High,2.961420556460265,36.92763742288235,3,Low,Not Fit
User_75,39,Female,174,55,18.166204254194742,9824,7859.200000000001,768,Swimming,67,76,5,High,1.522771822938887,36.996534845172405,3,High,Not Fit
User_76,37,Male,176,74,23.889462809917354,14613,11690.400000000001,407,Walking,60,83,5,High,3.169315723556159,36.64075539509766,3,Moderate,Not Fit
User_77,31,Female,168,87,30.824829931972793,12148,9718.4,752,Cycling,70,60,6,High,1.542141272966482,37.27448679693588,4,Moderate,Not Fit
User_78,28,Female,179,63,19.66230766829999,7594,6075.200000000001,256,Running,53,65,9,Low,2.7292084951908455,37.100746381502496,2,Moderate,Fit
User_79,45,Female,172,97,32.787993510005414,7044,5635.200000000001,642,Running,38,86,9,Low,1.7148144673915144,36.774808817094076,3,Low,Not Fit
User_80,30,Male,171,66,22.571047501795427,6849,5479.200000000001,652,Walking,26,79,8,Medium,2.2932343812497824,37.49380405475218,4,High,Fit
User_81,39,Male,159,78,30.853209920493647,12020,9616.0,233,Cycling,46,86,9,Medium,2.1985533299927464,37.43413779825054,3,Moderate,Not Fit
User_82,30,Female,171,98,33.51458568448412,7725,6180.0,536,Swimming,113,89,8,Medium,1.7157896275844686,36.939439042351495,3,Moderate,Not Fit
User_83,27,Female,168,59,20.904195011337873,10380,8304.0,778,Cycling,67,80,7,Low,2.1264284337414674,36.96253278882025,5,Moderate,Fit
User_84,34,Female,165,81,29.752066115702483,8376,6700.8,428,Swimming,41,82,8,Low,2.0821347720081946,36.67521085996809,3,Moderate,Not Fit
User_85,20,Male,155,67,27.887617065556707,4457,3565.6000000000004,198,Walking,58,70,5,Medium,2.6664480262353525,36.52597543894343,5,Low,Not Fit
User_86,40,Female,172,59,19.94321254732288,9281,7424.8,199,Cycling,44,85,8,Low,3.00902943160107,36.88274863080719,4,High,Fit
User_87,34,Female,180,76,23.456790123456788,9764,7811.200000000001,357,Running,112,63,5,Medium,2.899143016292768,36.50866530098834,2,High,Not Fit
User_88,45,Male,173,55,18.376825152861773,5348,4278.400000000001,691,Running,114,67,5,Medium,2.345599072018447,36.65081050761106,3,Low,Not Fit
User_89,22,Female,162,64,24.38652644413961,12430,9944.0,381,Running,27,80,6,Medium,3.2744401319412155,36.54470987339753,5,High,Fit
User_90,30,Female,150,64,28.444444444444443,10691,8552.800000000001,697,Cycling,50,72,9,Medium,1.9479779917568423,37.134822044146226,3,High,Not Fit
User_91,30,Male,190,54,14.958448753462605,12491,9992.800000000001,219,Walking,24,65,8,High,3.392256212330137,37.08173788095353,5,Low,Not Fit
User_92,33,Female,158,91,36.45249158788655,10534,8427.2,578,Walking,112,73,6,Low,2.990527664694483,36.92986970033441,4,Moderate,Not Fit
User_93,43,Male,153,81,34.602076124567475,5299,4239.2,789,Cycling,20,63,7,Medium,3.1493925110606433,37.13311863135406,5,Low,Not Fit
User_94,41,Female,182,62,18.717546190073662,4931,3944.8,354,Swimming,120,87,6,Medium,2.111539908040273,37.263262161544176,2,Moderate,Not Fit
User_95,38,Female,155,87,36.21227887617065,4629,3703.2000000000003,580,Swimming,65,79,8,Low,2.2560510372902396,37.45272024499539,4,High,Not Fit
User_96,20,Female,179,61,19.038107424861895,9529,7623.200000000001,175,Walking,109,79,6,Low,1.7977936147563303,37.257814842327484,3,High,Not Fit
User_97,38,Female,185,79,23.08254200146092,11261,9008.800000000001,119,Running,112,71,8,High,2.8425617157191727,37.23148616428502,4,Moderate,Not Fit
User_98,44,Male,156,63,25.88757396449704,3821,3056.8,629,Walking,119,84,6,High,2.317716122874976,36.68360440798865,4,High,Not Fit
User_99,36,Male,173,74,24.725182932941294,8910,7128.0,666,Cycling,115,85,5,High,3.4656072879226834,36.779660807389035,2,Moderate,Not Fit
User_100,33,Female,169,58,20.307412205454995,11450,9160.0,301,Swimming,118,68,6,High,2.5409822205056054,37.404874224184574,5,Moderate,Not Fit
User_101,45,Male,180,64,19.753086419753085,9440,7552.0,475,Swimming,40,88,9,Medium,2.4971546333388552,36.877431870876066,5,Low,Fit
User_102,44,Female,172,72,24.337479718766904,13206,10564.800000000001,443,Swimming,69,78,9,Medium,2.84059063108735,37.10911121585382,2,High,Fit
User_103,43,Male,183,61,18.21493624772313,6633,5306.400000000001,152,Cycling,26,73,9,Low,3.423977702444747,36.95701679837454,4,Low,Not Fit
User_104,41,Male,177,59,18.832391713747644,5575,4460.0,500,Cycling,107,84,5,Low,2.109249741230366,37.18800867353603,4,Moderate,Not Fit
User_105,32,Male,177,79,25.2162533116282,14608,11686.400000000001,757,Cycling,79,65,8,Low,2.517409626562094,37.22202771171523,4,Moderate,Not Fit
User_106,28,Male,173,79,26.395803401383272,3307,2645.6000000000004,140,Swimming,62,71,6,Medium,3.4428846989104573,36.52131044706961,5,Low,Not Fit
User_107,39,Female,179,69,21.534908398614277,8907,7125.6,503,Running,95,75,6,High,3.352586741771255,36.65312142801978,3,High,Not Fit
User_108,38,Male,183,70,20.902385858042937,5073,4058.4,675,Swimming,65,77,6,Medium,2.913948994262366,37.29055969460154,5,Moderate,Fit
User_109,23,Male,162,87,33.15043438500228,8346,6676.8,601,Swimming,48,77,6,High,2.991463492686977,37.479811330605415,5,High,Not Fit
User_110,45,Male,154,75,31.624219935908247,10575,8460.0,781,Walking,57,79,6,High,3.287360226559988,37.292369847626965,3,Low,Not Fit
User_111,36,Female,160,98,38.28124999999999,13838,11070.400000000001,533,Walking,99,75,5,Low,1.828297740753613,36.8304610787,5,Moderate,Not Fit
User_112,42,Female,173,58,19.37919743392696,10534,8427.2,349,Running,74,78,9,Medium,2.4849706688992965,37.08658126252209,5,Moderate,Fit
User_113,32,Female,159,59,23.337684427040067,13937,11149.6,300,Swimming,104,61,6,High,3.025961382354648,36.84108257116815,3,Low,Not Fit
User_114,40,Male,164,67,24.910767400356935,7250,5800.0,362,Walking,109,76,7,Low,2.043827055356942,37.35320886576308,3,High,Fit
User_115,34,Female,179,51,15.917106207671422,10592,8473.6,199,Swimming,27,66,5,High,1.8950016574036475,37.47186022982353,2,Low,Not Fit
User_116,35,Male,185,54,15.777940102264425,14692,11753.6,111,Walking,43,80,5,Low,2.0576450202944807,37.325191076752695,5,High,Not Fit
User_117,42,Female,161,58,22.375679950619187,3900,3120.0,192,Walking,24,90,7,Medium,2.255291477355555,37.0284712100999,4,Moderate,Not Fit
User_118,24,Male,165,45,16.528925619834713,4300,3440.0,548,Running,98,69,7,High,2.900146262096846,36.603911275402695,5,High,Not Fit
User_119,45,Female,172,75,25.351541373715524,5345,4276.0,592,Swimming,100,74,6,Medium,2.525458943668542,37.139096757746515,5,Moderate,Not Fit
User_120,20,Female,167,85,30.477966223242138,9622,7697.6,753,Running,77,63,8,Medium,1.7302243158905748,36.83618568638963,4,High,Not Fit
User_121,29,Male,169,73,25.55932915514163,5998,4798.400000000001,380,Swimming,79,62,5,Low,3.3166054173418322,36.541290531512246,3,High,Not Fit
User_122,42,Male,174,68,22.460034350640772,13111,10488.800000000001,137,Walking,30,78,5,Low,1.9422569381840618,37.04413984492275,5,Moderate,Not Fit
User_123,26,Female,172,65,21.971335857220122,14082,11265.6,119,Running,93,74,7,Low,1.5399720756676964,36.57799813329995,5,Moderate,Not Fit
User_124,43,Female,168,81,28.69897959183674,6693,5354.400000000001,148,Running,59,64,9,Low,1.71917818577871,36.8679986608686,4,Low,Not Fit
User_125,24,Male,162,72,27.43484224965706,9408,7526.400000000001,549,Running,35,86,5,High,2.2545920109342417,37.17251223208145,5,Low,Not Fit
User_126,29,Male,175,65,21.224489795918366,12859,10287.2,544,Swimming,29,72,8,Low,3.3237190558036933,37.36138124444488,5,High,Fit
User_127,29,Female,153,73,31.184587124610193,7736,6188.8,136,Walking,86,78,5,High,2.9859567642884066,37.25153289347237,2,High,Not Fit
User_128,28,Male,190,49,13.573407202216067,4372,3497.6000000000004,126,Swimming,97,82,9,High,2.3854422882652866,36.5262941398882,4,High,Not Fit
User_129,26,Male,177,76,24.258674071946118,7540,6032.0,465,Swimming,98,81,5,Low,2.3114329075562097,36.56717663681109,3,Moderate,Not Fit
User_130,39,Male,168,62,21.9671201814059,10620,8496.0,162,Cycling,60,70,5,Low,2.029074735260604,36.61893508059702,2,Low,Not Fit
User_131,30,Male,178,69,21.777553339224845,10366,8292.800000000001,679,Cycling,95,64,9,Medium,2.9575407993925125,37.10802002533087,4,High,Fit
User_132,36,Male,164,76,28.256989886972047,7395,5916.0,398,Walking,30,67,5,Low,3.4239204299505808,36.981217782560485,2,High,Not Fit
User_133,30,Male,175,71,23.183673469387756,4782,3825.6000000000004,307,Cycling,115,89,7,Medium,2.9978450168522865,36.94976711979283,5,Low,Not Fit
User_134,20,Male,159,97,38.36873541394723,10326,8260.800000000001,111,Walking,41,75,9,Medium,3.0049829015236025,36.99843738956395,2,Low,Not Fit
User_135,44,Male,158,63,25.236340330075304,3054,2443.2000000000003,183,Running,64,73,9,High,1.8629306177298044,37.243006153772164,3,High,Not Fit
User_136,34,Male,179,75,23.40750912892856,11741,9392.800000000001,327,Running,55,60,5,Medium,3.4707912850306455,36.613459052160806,4,Moderate,Not Fit
User_137,24,Male,179,45,14.044505477357136,11587,9269.6,358,Cycling,76,90,5,High,3.4582109323913457,36.93187420149719,2,Low,Not Fit
User_138,38,Female,164,75,27.885187388459254,8531,6824.8,537,Swimming,44,79,9,High,3.1874968481683936,36.517759506619065,2,Low,Not Fit
User_139,32,Female,179,52,16.22920632939047,9964,7971.200000000001,377,Walking,117,74,5,Low,2.9284376184226364,36.885191011166285,3,High,Not Fit
User_140,33,Male,168,64,22.67573696145125,6187,4949.6,220,Walking,83,81,9,Medium,3.1588803897732896,36.93728932228517,5,Low,Fit
User_141,39,Female,160,69,26.953124999999996,3950,3160.0,361,Cycling,30,74,7,Medium,3.4457448039609457,36.7873117336198,3,Low,Not Fit
User_142,25,Female,157,83,33.6727656294373,6411,5128.8,176,Cycling,58,66,9,High,3.1774036115432827,37.30691127404266,2,High,Not Fit
User_143,42,Male,174,71,23.450918219051392,8293,6634.400000000001,485,Swimming,106,80,5,Low,2.1343277978295623,36.64756583052898,2,Moderate,Not Fit
User_144,35,Female,176,53,17.110020661157026,5333,4266.400000000001,635,Swimming,25,64,8,High,2.163464400712889,37.20243932550915,4,Moderate,Not Fit
User_145,29,Female,160,69,26.953124999999996,10238,8190.400000000001,419,Swimming,23,82,5,High,2.0195520719223348,37.13228709027023,2,High,Not Fit
User_146,27,Female,175,65,21.224489795918366,14853,11882.400000000001,231,Cycling,29,85,8,Low,2.9023253951443984,36.697557067910296,3,Moderate,Fit
User_147,41,Male,160,69,26.953124999999996,10595,8476.0,100,Swimming,62,66,5,High,3.0065759064234796,37.2051583772414,5,Low,Not Fit
User_148,40,Female,184,59,17.426748582230623,11502,9201.6,597,Swimming,51,84,9,High,2.3323049898304324,36.85059357491679,4,Moderate,Not Fit
User_149,20,Female,164,50,18.590124925639504,13990,11192.0,778,Running,88,63,5,Low,3.14122307592421,37.340085387630836,5,Low,Not Fit
User_150,23,Female,164,79,29.372397382510414,9972,7977.6,735,Walking,82,63,5,Low,2.433513345490986,37.40280092870304,3,High,Not Fit
User_151,42,Female,177,98,31.28092182961473,4208,3366.4,158,Running,20,66,9,High,3.154976880545728,36.71504709994792,2,Low,Not Fit
User_152,29,Female,160,66,25.781249999999996,8762,7009.6,497,Swimming,53,67,6,Medium,1.7641653991656232,37.201933489995895,5,Low,Not Fit
User_153,40,Male,190,83,22.991689750692522,13640,10912.0,686,Swimming,87,64,9,High,2.381490043135412,36.851782569239504,2,Low,Not Fit
User_154,34,Female,167,63,22.589551436050055,13815,11052.0,160,Swimming,86,89,8,Low,1.9226043586715604,37.03714880053271,4,Moderate,Not Fit
User_155,44,Female,172,50,16.901027582477017,7662,6129.6,558,Walking,68,78,5,Medium,2.074322620376269,37.33334559875752,5,Low,Not Fit
User_156,27,Female,161,45,17.360441340997646,10220,8176.0,192,Running,97,88,8,Low,2.8116096964930035,37.3432435023602,2,Low,Not Fit
User_157,30,Female,181,69,21.06162815542871,6785,5428.0,216,Swimming,46,81,9,Low,2.140785655330882,36.761603757225735,4,Moderate,Fit
User_158,25,Female,186,62,17.921146953405014,9438,7550.400000000001,429,Walking,33,64,6,Medium,1.8685876422546543,36.98281168942744,4,Moderate,Not Fit
User_159,41,Female,173,60,20.04744562130375,13742,10993.6,727,Running,75,89,6,High,3.414852785986583,36.79962733575501,5,Moderate,Not Fit
User_160,32,Female,177,78,24.897060231734173,4768,3814.4,783,Cycling,30,66,8,High,3.0539238597371363,36.802142356004715,2,High,Not Fit
User_161,22,Male,164,60,22.308149910767405,3334,2667.2000000000003,401,Cycling,50,67,8,Medium,1.506219561011343,37.10968321495363,2,Moderate,Not Fit
User_162,45,Male,176,85,27.44059917355372,5669,4535.2,527,Swimming,95,87,9,High,3.4854110196460484,37.21125711538401,2,Moderate,Not Fit
User_163,45,Female,168,76,26.92743764172336,6483,5186.400000000001,479,Cycling,80,76,9,Low,2.140871001191776,36.833583958684116,3,High,Not Fit
User_164,24,Female,171,65,22.229061933586404,13128,10502.400000000001,609,Walking,26,81,8,Medium,1.6738551581646004,37.3121914380392,3,Low,Not Fit
User_165,31,Female,178,71,22.408786769347305,4208,3366.4,302,Cycling,77,65,5,Low,2.6086047930419483,36.599834753619014,5,Low,Not Fit
User_166,27,Male,162,89,33.91251333638164,4848,3878.4,602,Cycling,55,72,9,Medium,1.6185504855649797,37.025655577948186,3,Moderate,Not Fit
User_167,28,Male,186,71,20.522603769221874,12337,9869.6,567,Running,59,74,6,Low,1.9019194945778288,36.99237323169828,3,Moderate,Not Fit
User_168,21,Male,168,64,22.67573696145125,14303,11442.400000000001,182,Cycling,99,85,9,High,2.5773296560358507,36.54716001960475,2,High,Not Fit
User_169,41,Male,165,69,25.344352617079892,4474,3579.2000000000003,658,Swimming,22,79,7,High,1.5415329939213904,37.27941777182935,5,Low,Not Fit
User_170,38,Male,182,45,13.58531578311798,5005,4004.0,494,Walking,29,78,6,Low,1.9437625601775235,37.25609175952199,5,High,Not Fit
User_171,23,Male,164,58,21.564544913741823,8610,6888.0,616,Swimming,76,67,7,Medium,3.035752127411146,37.22677750352708,5,High,Fit
User_172,26,Male,160,83,32.42187499999999,3279,2623.2000000000003,334,Running,66,78,9,Medium,3.062913185362474,37.462497244035525,5,Moderate,Not Fit
User_173,23,Male,158,57,22.832879346258608,14442,11553.6,300,Walking,50,85,7,Low,2.1265948057102353,36.92663403627412,3,Moderate,Fit
User_174,29,Female,161,72,27.776706145596233,3330,2664.0,106,Running,45,60,7,High,2.099433223682716,36.91827148096926,3,High,Not Fit
User_175,44,Male,160,77,30.078124999999993,13982,11185.6,374,Cycling,120,89,6,High,2.9775316909018708,37.34764276033288,3,High,Not Fit
User_176,31,Female,180,74,22.839506172839506,10307,8245.6,681,Walking,118,64,9,Low,2.004133570999672,36.713996269333016,4,High,Fit
User_177,32,Male,170,65,22.49134948096886,14633,11706.400000000001,127,Running,26,74,6,Low,2.2125293524725036,36.528441193436066,2,High,Fit
User_178,31,Male,189,83,23.23563170124017,7255,5804.0,572,Cycling,59,60,6,Low,3.2364316157189403,37.4793820553188,5,Low,Fit
User_179,36,Male,161,78,30.091431657729252,6422,5137.6,602,Cycling,112,74,6,Low,3.020198089166191,36.73267699393695,4,Low,Not Fit
User_180,38,Male,174,50,16.514731140177037,7433,5946.400000000001,167,Running,47,81,9,Low,1.5770143489939097,36.626699404698776,2,High,Not Fit
User_181,28,Male,169,79,27.660095935016283,10211,8168.8,130,Swimming,90,75,6,Medium,2.4357304415825807,36.64063717142238,3,Low,Not Fit
User_182,44,Female,174,60,19.817677368212443,5229,4183.2,569,Swimming,68,85,6,Medium,1.531165297827621,37.10471451366813,5,Moderate,Not Fit
User_183,35,Female,167,78,27.968016063681024,9108,7286.400000000001,275,Walking,116,84,8,Low,2.1271018870437377,36.50486755141019,4,High,Not Fit
User_184,38,Male,165,75,27.548209366391188,5968,4774.400000000001,296,Cycling,38,69,8,Low,1.5826064580037145,37.102960030442,3,Moderate,Not Fit
User_185,45,Male,170,68,23.529411764705884,7115,5692.0,693,Walking,66,84,9,Low,1.7081273129132535,36.73176499089789,2,Low,Not Fit
User_186,28,Male,159,63,24.919900320398717,8308,6646.400000000001,359,Running,88,68,7,High,3.0772607930310327,37.19860445451236,4,High,Not Fit
User_187,33,Female,162,71,27.053802773967377,7812,6249.6,183,Walking,53,63,8,High,2.3186923440621747,37.387681322862036,2,High,Not Fit
User_188,21,Female,167,79,28.326580372189753,5053,4042.4,772,Swimming,85,81,9,Medium,2.199457577972807,36.84857990988616,5,Low,Not Fit
